RecordTime , PackageName , Activity , BootTime
2022-12-21-17-40-16 , com.tianci.movieplatform , .newhistory.NewHistoryActivity , 2.5
2022-12-21-17-40-49, com.tianci.movieplatform , .newhistory.NewHistoryActivity , 1.75
