RecordTime , PackageName , Activity , BootTime
2022-12-22-16-45-35 , com.tianci.appstore , com.coocaa.x.app.appstore3.pages.home.v2.AppStoreHomeActivityV2 , 9.58
2022-12-22-16-46-17, com.tianci.appstore , com.coocaa.x.app.appstore3.pages.home.v2.AppStoreHomeActivityV2 , 7.9
2022-12-22-16-46-56, com.tianci.appstore , com.coocaa.x.app.appstore3.pages.home.v2.AppStoreHomeActivityV2 , 3.35
2022-12-22-16-47-42, com.tianci.appstore , com.coocaa.x.app.appstore3.pages.home.v2.AppStoreHomeActivityV2 , 7.02
2022-12-22-16-48-22, com.tianci.appstore , com.coocaa.x.app.appstore3.pages.home.v2.AppStoreHomeActivityV2 , 3.42
