RecordTime , PackageName , Activity , BootTime
2022-12-21-17-41-25 , com.tianci.movieplatform , com.tianci.ThirdPlayer.ThirdDetailInfoActivity , 1.95
2022-12-21-17-42-08, com.tianci.movieplatform , com.tianci.ThirdPlayer.ThirdDetailInfoActivity , 1.64
