RecordTime , PackageName , Activity , BootTime
2022-12-21-17-39-03 , com.tianci.movieplatform , .SkyVideoSpecialActivity , 1.73
2022-12-21-17-39-37, com.tianci.movieplatform , .SkyVideoSpecialActivity , 1.82
